German	English	Persian	Gender	Article	Plural	Cases	Example
Samstag	Saturday	شنبه	Maskulin	der	die Samstage	[Nom] [Akk] [Dat] [Gen]	—
Sonntag	Sunday	یکشنبه	Maskulin	der	die Sonntage	[Nom] [Akk] [Dat] [Gen]	—
Januar	January	ژانویه	Maskulin	der	die Januare	[Nom] [Akk] [Dat] [Gen]	—
Februar	February	فوریه	Maskulin	der	die Februare	[Nom] [Akk] [Dat] [Gen]	—
März	March	مارس	Maskulin	der	die Märze	[Nom] [Akk] [Dat] [Gen]	—
April	April	آوریل	Maskulin	der	die Aprils	[Nom] [Akk] [Dat] [Gen]	—
Mai	May	مه	Maskulin	der	die Maitage	[Nom] [Akk] [Dat] [Gen]	—
Juni	June	ژوئن	Maskulin	der	die Junis	[Nom] [Akk] [Dat] [Gen]	—
Juli	July	ژوئیه	Maskulin	der	die Julis	[Nom] [Akk] [Dat] [Gen]	—
August	August	آگوست	Maskulin	der	die Auguste	[Nom] [Akk] [Dat] [Gen]	—
September	September	سپتامبر	Maskulin	der	die September	[Nom] [Akk] [Dat] [Gen]	—
Oktober	October	اکتبر	Maskulin	der	die Oktober	[Nom] [Akk] [Dat] [Gen]	—
November	November	نوامبر	Maskulin	der	die Novembere	[Nom] [Akk] [Dat] [Gen]	—
Dezember	December	دسامبر	Maskulin	der	die Dezembere	[Nom] [Akk] [Dat] [Gen]	—
Frühling	spring	بهار	Maskulin	der	die Frühlinge	[Nom] [Akk] [Dat] [Gen]	—
Sommer	summer	تابستان	Maskulin	der	die Sommer	[Nom] [Akk] [Dat] [Gen]	—
Herbst	autumn	پاییز	Maskulin	der	die Herbst	[Nom] [Akk] [Dat] [Gen]	—
Winter	winter	زمستان	Maskulin	der	die Winter	[Nom] [Akk] [Dat] [Gen]	—
Brunch	brunch	صبحانه ناهار	Maskulin	der	die Brunchs	[Nom] [Akk] [Dat] [Gen]	—
Nachmittagstee	afternoon tea	چای بعدازظهر	Maskulin	der	die Nachmittagstees	[Nom] [Akk] [Dat] [Gen]	—
Mitternachtssnack	midnight snack	میان‌وعده نیمه‌شب	Maskulin	der	die Mitternachtssnacks	[Nom] [Akk] [Dat] [Gen]	—
Hauptmahlzeit	main meal	وعده اصلی	Feminin	die	die Hauptmahlzeiten	[Nom] [Akk] [Dat] [Gen]	—
Zwischenmahlzeit	snack	میان‌وعده	Feminin	die	die Zwischenmahlzeiten	[Nom] [Akk] [Dat] [Gen]	—
Frühstück	breakfast	صبحانه	Neutral	das	die Frühstücke	[Nom] [Akk] [Dat] [Gen]	—
Mittagessen	lunch	ناهار	Neutral	das	die Mittagessen	[Nom] [Akk] [Dat] [Gen]	—
Abendessen	dinner	شام	Neutral	das	die Abendessen	[Nom] [Akk] [Dat] [Gen]	—
Abendbrot	evening meal	شام سبک	Neutral	das	die Abendbrote	[Nom] [Akk] [Dat] [Gen]	—
Essen	food/meal	غذا	Neutral	das	die Essen	[Nom] [Akk] [Dat] [Gen]	—
Club	club	باشگاه	Maskulin	der	die Clubs	[Nom] [Akk] [Dat] [Gen]	—
Party	party	مهمانی	Feminin	die	die Partys	[Nom] [Akk] [Dat] [Gen]	—
Musik	music	موسیقی	Feminin	die	die Musiken	[Nom] [Akk] [Dat] [Gen]	—
Disco	disco	دیسکو	Feminin	die	die Discos	[Nom] [Akk] [Dat] [Gen]	—
Show	show	نمایش	Feminin	die	die Shows	[Nom] [Akk] [Dat] [Gen]	—
Ausstellung	exhibition	نمایشگاه	Feminin	die	die Ausstellungen	[Nom] [Akk] [Dat] [Gen]	—
Aktivität	activity	فعالیت	Feminin	die	die Aktivitäten	[Nom] [Akk] [Dat] [Gen]	—
Hobby	hobby	سرگرمی	Neutral	das	die Hobbys	[Nom] [Akk] [Dat] [Gen]	—
Kino	cinema	سینما	Neutral	das	die Kinofilme	[Nom] [Akk] [Dat] [Gen]	—
Konzert	concert	کنسرت	Neutral	das	die Konzerte	[Nom] [Akk] [Dat] [Gen]	—
Theater	theater	تئاتر	Neutral	das	die Theater	[Nom] [Akk] [Dat] [Gen]	—
Spiel	game	بازی	Neutral	das	die Spiele	[Nom] [Akk] [Dat] [Gen]	—
Videospiel	video game	بازی ویدیویی	Neutral	das	die Videospiele	[Nom] [Akk] [Dat] [Gen]	—
Museum	museum	موزه	Neutral	das	die Museen	[Nom] [Akk] [Dat] [Gen]	—
Interesse	interest	علاقه	Neutral	das	die Interessen	[Nom] [Akk] [Dat] [Gen]	—
Geige	violin	ویولن	Feminin	die	die Geigen	[Nom] [Akk] [Dat] [Gen]	—
Gitarre	guitar	گیتار	Feminin	die	die Gitarren	[Nom] [Akk] [Dat] [Gen]	—
Klavier	piano	پیانو	Neutral	das	die Klaviere	[Nom] [Akk] [Dat] [Gen]	—
Schlagzeug	drum set	درام	Neutral	das	die Schlagzeuge	[Nom] [Akk] [Dat] [Gen]	—
Sport	sport	ورزش	Maskulin	der	die Sportarten	[Nom] [Akk] [Dat] [Gen]	—
Ball	ball	توپ	Maskulin	der	die Bälle	[Nom] [Akk] [Dat] [Gen]	—
Basketball	basketball	بسکتبال	Maskulin	der	die Basketbälle	[Nom] [Akk] [Dat] [Gen]	—
Fußball	football/soccer	فوتبال	Maskulin	der	die Fußball	[Nom] [Akk] [Dat] [Gen]	—
Marathon	marathon	ماراتن	Maskulin	der	die Marathons	[Nom] [Akk] [Dat] [Gen]	—
Ski	ski	اسکی	Maskulin	der	die Ski	[Nom] [Akk] [Dat] [Gen]	—
Fan	fan	طرفدار	Maskulin	der	die Fans	[Nom] [Akk] [Dat] [Gen]	—
Trainer	male coach	مربی (مرد)	Maskulin	der	die Trainer	[Nom] [Akk] [Dat] [Gen]	—
Sportart	type of sport	نوع ورزش	Feminin	die	die Sportarten	[Nom] [Akk] [Dat] [Gen]	—
Sauna	sauna	سونا	Feminin	die	die Saunen	[Nom] [Akk] [Dat] [Gen]	—
Fitness	fitness	تناسب اندام	Feminin	die	die Fitness	[Nom] [Akk] [Dat] [Gen]	—
Trainerin	female coach	مربی (زن)	Feminin	die	die Trainerinnen	[Nom] [Akk] [Dat] [Gen]	—
Fitness-Studio	gym	باشگاه بدنسازی	Neutral	das	die Fitness-Studios	[Nom] [Akk] [Dat] [Gen]	—
Aerobic	aerobics	ایروبیک	Neutral	das	die Aerobic	[Nom] [Akk] [Dat] [Gen]	—
Yoga	yoga	یوگا	Neutral	das	die Yoga	[Nom] [Akk] [Dat] [Gen]	—
Pilates	Pilates	پیلاتس	Neutral	das	die Pilates	[Nom] [Akk] [Dat] [Gen]	—
Schwimmbad	swimming pool	استخر	Neutral	das	die Schwimmbäder	[Nom] [Akk] [Dat] [Gen]	—
Schwimmen	swimming	شنا	Neutral	das	die Schwimmen	[Nom] [Akk] [Dat] [Gen]	—
Tennis	tennis	تنیس	Neutral	das	die Tennis	[Nom] [Akk] [Dat] [Gen]	—
Boxen	boxing	بوکس	Neutral	das	die Boxen	[Nom] [Akk] [Dat] [Gen]	—
Thaiboxen	Thai boxing	موای‌تای	Neutral	das	die Thaiboxen	[Nom] [Akk] [Dat] [Gen]	—
Step	step aerobics	استپ	Neutral	das	die Steps	[Nom] [Akk] [Dat] [Gen]	—
Ski alpin	alpine skiing	اسکی آلپاین	Neutral	das	die Ski alpin	[Nom] [Akk] [Dat] [Gen]	—
Skispringen	ski jumping	اسکی پرشی	Neutral	das	die Skispringen	[Nom] [Akk] [Dat] [Gen]	—
Trikot	jersey	پیراهن ورزشی	Neutral	das	die Trikots	[Nom] [Akk] [Dat] [Gen]	—
Team	team	تیم	Neutral	das	die Teams	[Nom] [Akk] [Dat] [Gen]	—
Training	training	تمرین	Neutral	das	die Trainings	[Nom] [Akk] [Dat] [Gen]	—
Kopf	head	سر	Maskulin	der	die Köpfe	[Nom] [Akk] [Dat] [Gen]	—
Arm	arm	بازو	Maskulin	der	die Arme	[Nom] [Akk] [Dat] [Gen]	—
Mund	mouth	دهان	Maskulin	der	die Münder	[Nom] [Akk] [Dat] [Gen]	—
Bauch	stomach/belly	شکم	Maskulin	der	die Bäuche	[Nom] [Akk] [Dat] [Gen]	—
Körper	body	بدن	Maskulin	der	die Körper	[Nom] [Akk] [Dat] [Gen]	—
Magen	stomach	معده	Maskulin	der	die Mägen	[Nom] [Akk] [Dat] [Gen]	—
Finger	finger	انگشت	Maskulin	der	die Finger	[Nom] [Akk] [Dat] [Gen]	—
Nagel	nail	ناخن	Maskulin	der	die Nägel	[Nom] [Akk] [Dat] [Gen]	—
Hals	neck/throat	گردن/حلق	Maskulin	der	die Hälse	[Nom] [Akk] [Dat] [Gen]	—
Zahn	tooth	دندان	Maskulin	der	die Zähne	[Nom] [Akk] [Dat] [Gen]	—
Muskel	muscle	عضله	Maskulin	der	die Muskeln	[Nom] [Akk] [Dat] [Gen]	—
Rücken	back	کمر	Maskulin	der	die Rücken	[Nom] [Akk] [Dat] [Gen]	—
Fuß	foot	پا	Maskulin	der	die Füße	[Nom] [Akk] [Dat] [Gen]	—
Nase	nose	بینی	Feminin	die	die Nasen	[Nom] [Akk] [Dat] [Gen]	—
Niere	kidney	کلیه	Feminin	die	die Nieren	[Nom] [Akk] [Dat] [Gen]	—
Haut	skin	پوست	Feminin	die	die Häute	[Nom] [Akk] [Dat] [Gen]	—
Stirn	forehead	پیشانی	Feminin	die	die Stirnen	[Nom] [Akk] [Dat] [Gen]	—
Hand	hand	دست	Feminin	die	die Hände	[Nom] [Akk] [Dat] [Gen]	—
Lunge	lung	ریه	Feminin	die	die Lungen	[Nom] [Akk] [Dat] [Gen]	—
Bein	leg	پا	Neutral	das	die Beine	[Nom] [Akk] [Dat] [Gen]	—
Haar	hair	مو	Neutral	das	die Haare	[Nom] [Akk] [Dat] [Gen]	—
Ohr	ear	گوش	Neutral	das	die Ohren	[Nom] [Akk] [Dat] [Gen]	—
Gehirn	brain	مغز	Neutral	das	die Gehirne	[Nom] [Akk] [Dat] [Gen]	—
Herz	heart	قلب	Neutral	das	die Herzen	[Nom] [Akk] [Dat] [Gen]	—
Auge	eye	چشم	Neutral	das	die Augen	[Nom] [Akk] [Dat] [Gen]	—
Blut	blood	خون	Neutral	das	die Blut	[Nom] [Akk] [Dat] [Gen]	—
Patient	male patient	بیمار (مرد)	Maskulin	der	die Patienten	[Nom] [Akk] [Dat] [Gen]	—
Arzt	male doctor	پزشک (مرد)	Maskulin	der	die Ärzte	[Nom] [Akk] [Dat] [Gen]	—
Schnupfen	cold/runny nose	آبریزش بینی	Maskulin	der	die Schnupfen	[Nom] [Akk] [Dat] [Gen]	—
Husten	cough	سرفه	Maskulin	der	die Husten	[Nom] [Akk] [Dat] [Gen]	—
Tipp	tip	نکته	Maskulin	der	die Tipps	[Nom] [Akk] [Dat] [Gen]	—
Patientin	female patient	بیمار (زن)	Feminin	die	die Patientinnen	[Nom] [Akk] [Dat] [Gen]	—
Ärztin	female doctor	پزشک (زن)	Feminin	die	die Ärztinnen	[Nom] [Akk] [Dat] [Gen]	—
Medizin	medicine	دارو/پزشکی	Feminin	die	die Medizinen	[Nom] [Akk] [Dat] [Gen]	—
Fieber	fever	تب	Neutral	das	die Fieber	[Nom] [Akk] [Dat] [Gen]	—
Antibiotikum	antibiotic	آنتی‌بیوتیک	Neutral	das	die Antibiotika	[Nom] [Akk] [Dat] [Gen]	—
Rauchen	smoking	سیگار کشیدن	Neutral	das	die Rauchen	[Nom] [Akk] [Dat] [Gen]	—
Tabletten	tablets/pills	قرص‌ها	Plural	die	—	[Nom] [Akk] [Dat] [Gen]	—
Kurs	course	دوره	Maskulin	der	die Kurse	[Nom] [Akk] [Dat] [Gen]	—
Deutschkurs	German course	دوره آلمانی	Maskulin	der	die Deutschkurse	[Nom] [Akk] [Dat] [Gen]	—
Prüfung	exam	امتحان	Feminin	die	die Prüfungen	[Nom] [Akk] [Dat] [Gen]	—
Hausaufgabe	homework	تکلیف خانه	Feminin	die	die Hausaufgaben	[Nom] [Akk] [Dat] [Gen]	—
Seminar	seminar	سمینار	Neutral	das	die Seminare	[Nom] [Akk] [Dat] [Gen]	—
Abitur	high school diploma	دیپلم دبیرستان	Neutral	das	die Abiture	[Nom] [Akk] [Dat] [Gen]	—
Gymnasium	high school	دبیرستان	Neutral	das	die Gymnasien	[Nom] [Akk] [Dat] [Gen]	—
Bleistift	pencil	مداد	Maskulin	der	die Bleistifte	[Nom] [Akk] [Dat] [Gen]	—
Stift	pen	خودکار	Maskulin	der	die Stifte	[Nom] [Akk] [Dat] [Gen]	—
Kugelschreiber	ballpoint pen	خودکار	Maskulin	der	die Kugelschreiber	[Nom] [Akk] [Dat] [Gen]	—
Mantel	coat	کت بلند	Maskulin	der	die Mäntel	[Nom] [Akk] [Dat] [Gen]	—
Pullover	sweater	پلیور	Maskulin	der	die Pullover	[Nom] [Akk] [Dat] [Gen]	—
Kleidung	clothing	لباس	Feminin	die	die Kleidungen	[Nom] [Akk] [Dat] [Gen]	—
Bluse	blouse	بلوز	Feminin	die	die Blusen	[Nom] [Akk] [Dat] [Gen]	—
Jeans	jeans	جین	Feminin	die	die Jeans	[Nom] [Akk] [Dat] [Gen]	—
Jacke	jacket	ژاکت	Feminin	die	die Jacken	[Nom] [Akk] [Dat] [Gen]	—
Tasche	bag	کیف	Feminin	die	die Taschen	[Nom] [Akk] [Dat] [Gen]	—
Brille	glasses	عینک	Feminin	die	die Brillen	[Nom] [Akk] [Dat] [Gen]	—
Hose	pants	شلوار	Feminin	die	die Hosen	[Nom] [Akk] [Dat] [Gen]	—
Farbe	color	رنگ	Feminin	die	die Farben	[Nom] [Akk] [Dat] [Gen]	—
Hemd	shirt	پیراهن	Neutral	das	die Hemden	[Nom] [Akk] [Dat] [Gen]	—
Trikot	jersey	پیراهن ورزشی	Neutral	das	die Trikots	[Nom] [Akk] [Dat] [Gen]	—
Park	park	پارک	Maskulin	der	die Parks	[Nom] [Akk] [Dat] [Gen]	—
Stadtpark	city park	پارک شهر	Maskulin	der	die Stadtparks	[Nom] [Akk] [Dat] [Gen]	—
Bahnhof	train station	ایستگاه قطار	Maskulin	der	die Bahnhöfe	[Nom] [Akk] [Dat] [Gen]	—
Markt	market	بازار	Maskulin	der	die Märkte	[Nom] [Akk] [Dat] [Gen]	—
Supermarkt	supermarket	سوپرمارکت	Maskulin	der	die Supermärkte	[Nom] [Akk] [Dat] [Gen]	—
Flohmarkt	flea market	بازار کهنه‌فروشان	Maskulin	der	die Flohmärkte	[Nom] [Akk] [Dat] [Gen]	—
Flughafen	airport	فرودگاه	Maskulin	der	die Flughäfen	[Nom] [Akk] [Dat] [Gen]	—
Spielplatz	playground	زمین بازی	Maskulin	der	die Spielplätze	[Nom] [Akk] [Dat] [Gen]	—
Garten	garden	باغچه	Maskulin	der	die Gärten	[Nom] [Akk] [Dat] [Gen]	—
Schule	school	مدرسه	Feminin	die	die Schulen	[Nom] [Akk] [Dat] [Gen]	—
Universität	university	دانشگاه	Feminin	die	die Universitäten	[Nom] [Akk] [Dat] [Gen]	—
Straße	street	خیابان	Feminin	die	die Straßen	[Nom] [Akk] [Dat] [Gen]	—
Autobahn	highway	بزرگراه	Feminin	die	die Autobahnen	[Nom] [Akk] [Dat] [Gen]	—
Bank	bank	بانک	Feminin	die	die Banken	[Nom] [Akk] [Dat] [Gen]	—
Tankstelle	gas station	جایگاه سوخت	Feminin	die	die Tankstellen	[Nom] [Akk] [Dat] [Gen]	—
Bushaltestelle	bus stop	ایستگاه اتوبوس	Feminin	die	die Bushaltestellen	[Nom] [Akk] [Dat] [Gen]	—
Bibliothek	library	کتابخانه	Feminin	die	die Bibliotheken	[Nom] [Akk] [Dat] [Gen]	—
Post	post office	اداره پست	Feminin	die	die Posten	[Nom] [Akk] [Dat] [Gen]	—
Kirche	church	کلیسا	Feminin	die	die Kirchen	[Nom] [Akk] [Dat] [Gen]	—
Werkstatt	workshop	کارگاه	Feminin	die	die Werkstätten	[Nom] [Akk] [Dat] [Gen]	—
Haus	house	خانه	Neutral	das	die Häuser	[Nom] [Akk] [Dat] [Gen]	—
Hotel	hotel	هتل	Neutral	das	die Hotels	[Nom] [Akk] [Dat] [Gen]	—
Krankenhaus	hospital	بیمارستان	Neutral	das	die Krankenhäuser	[Nom] [Akk] [Dat] [Gen]	—
Kindergarten	kindergarten	مهدکودک	Neutral	das	die Kindergärten	Neutral	—
Restaurant	restaurant	رستوران	Neutral	das	die Restaurants	[Nom] [Akk] [Dat] [Gen]	—
Geschäft	shop/business	مغازه	Neutral	das	die Geschäfte	[Nom] [Akk] [Dat] [Gen]	—
Café	café	کافه	Neutral	das	die Cafés	[Nom] [Akk] [Dat] [Gen]	—
Arbeitsamt	job center	اداره کار	Neutral	das	die Ämter	[Nom] [Akk] [Dat] [Gen]	—
Ort	place/area	مکان	Maskulin	der	die Orte	[Nom] [Akk] [Dat] [Gen]	—
Geburtsort	place of birth	محل تولد	Maskulin	der	die Geburtsorte	[Nom] [Akk] [Dat] [Gen]	—
Platz	place/square	میدان	Maskulin	der	die Plätze	[Nom] [Akk] [Dat] [Gen]	—
Lieblingsplatz	favorite place	مکان مورد علاقه	Maskulin	der	die Lieblingsplätze	[Nom] [Akk] [Dat] [Gen]	—
Wohnort	place of residence	محل سکونت	Maskulin	der	die Wohnorte	[Nom] [Akk] [Dat] [Gen]	—
Stadt	city	شهر	Feminin	die	die Städte	[Nom] [Akk] [Dat] [Gen]	—
Land	country/land	کشور	Neutral	das	die Länder	[Nom] [Akk] [Dat] [Gen]	—
Dorf	village	روستا	Neutral	das	die Dörfer	[Nom] [Akk] [Dat] [Gen]	—
Zentrum	center	مرکز	Neutral	das	die Zentren	[Nom] [Akk] [Dat] [Gen]	—
Bus	bus	اتوبوس	Maskulin	der	die Busse	[Nom] [Akk] [Dat] [Gen]	—
Zug	train	قطار	Maskulin	der	die Züge	[Nom] [Akk] [Dat] [Gen]	—
ICE	ICE high-speed train	قطار سریع‌السیر	Maskulin	der	die ICEs	[Nom] [Akk] [Dat] [Gen]	—
Bahn	railway/train	راه آهن	Feminin	die	die Bahnen	[Nom] [Akk] [Dat] [Gen]	—
U-Bahn	subway	مترو	Feminin	die	die U-Bahnen	[Nom] [Akk] [Dat] [Gen]	—
S-Bahn	suburban train	قطار حومه	Feminin	die	die S-Bahnen	[Nom] [Akk] [Dat] [Gen]	—
Straßenbahn	tram	تراموا	Feminin	die	die Straßenbahnen	[Nom] [Akk] [Dat] [Gen]	—
Auto	car	ماشین	Neutral	das	die Autos	[Nom] [Akk] [Dat] [Gen]	—
Fahrrad	bicycle	دوچرخه	Neutral	das	die Fahrräder	[Nom] [Akk] [Dat] [Gen]	—
Motorrad	motorcycle	موتورسیکلت	Neutral	das	die Motorräder	[Nom] [Akk] [Dat] [Gen]	—
Taxi	taxi	تاکسی	Neutral	das	die Taxis	[Nom] [Akk] [Dat] [Gen]	—
Flugzeug	airplane	هواپیما	Neutral	das	die Flugzeuge	[Nom] [Akk] [Dat] [Gen]	—
Tee	tea	چای	Maskulin	der	die Tees	[Nom] [Akk] [Dat] [Gen]	—
Kaffee	coffee	قهوه	Maskulin	der	die Kaffees	[Nom] [Akk] [Dat] [Gen]	—
Wein	wine	شراب	Maskulin	der	die Weine	[Nom] [Akk] [Dat] [Gen]	—
Saft	juice	آب میوه	Maskulin	der	die Säfte	[Nom] [Akk] [Dat] [Gen]	—
