German	English	Persian	Präteritum	Perfekt	Auxiliary	Class	Frame	Example
weinen	to cry	گریه کردن	weinte	hat geweint	haben	reg.	—	Das Kind weint.
lächeln	to smile	لبخند زدن	lächelte	hat gelächelt	haben	reg.	—	Ich lächle dich an.
lästern	to gossip	غیبت کردن	lästerte	hat gelästert	haben	reg.	—	Sie lästern über Nachbarn.
schreien	to scream	جیغ زدن	schrie	hat geschrien	haben	irr.	—	Das Baby schreit.
singen	to sing	آواز خواندن	sang	hat gesungen	haben	irr.	—	Ich singe ein Lied.
tanzen	to dance	رقصیدن	tanzte	hat getanzt	haben	reg.	—	Wir tanzen zusammen.
fürchten	to fear	ترسیدن	fürchtete	hat gefürchtet	haben	reg.	—	Ich fürchte mich vor Spinnen.
kommen	to come	آمدن	kam	ist gekommen	sein	irr.	—	Ich komme aus dem Iran.
fahren	to drive	رانندگی کردن	fuhr	ist gefahren	sein	irr.	[Akk]	Ich fahre mit dem Auto.
fliegen	to fly	پرواز کردن	flog	ist geflogen	sein	irr.	—	Ich fliege nach Berlin.
laufen	to run	دویدن	lief	ist gelaufen	sein	irr.	—	Ich laufe im Park.
springen	to jump	پریدن	sprang	ist gesprungen	sein	irr.	—	Das Kind springt hoch.
schwimmen	to swim	شنا کردن	schwamm	ist geschwommen	sein	irr.	—	Ich schwimme im See.
klettern	to climb	بالا رفتن	kletterte	ist geklettert	sein	reg.	—	Ich klettere auf den Baum.
reisen	to travel	سفر کردن	reiste	ist gereist	sein	reg.	—	Ich reise gern.
fallen	to fall	افتادن	fiel	ist gefallen	sein	irr.	—	Ich falle auf den Boden.
steigen	to climb/rise	بالا رفتن	stieg	ist gestiegen	sein	irr.	—	Der Preis ist gestiegen.
ankommen	to arrive	رسیدن	kam an	ist angekommen	sein	irr. (sep)	—	Ich komme um acht Uhr an.
abfahren	to depart	حرکت کردن	fuhr ab	ist abgefahren	sein	irr. (sep)	—	Der Zug fährt ab.
einsteigen	to get in	سوار شدن	stieg ein	ist eingestiegen	sein	irr. (sep)	—	Ich steige in den Bus ein.
aussteigen	to get out	پیاده شدن	stieg aus	ist ausgestiegen	sein	irr. (sep)	—	Ich steige an der Haltestelle aus.
umsteigen	to transfer	جا به جا شدن	stieg um	ist umgestiegen	sein	irr. (sep)	—	Ich muss in der Mitte umsteigen.
ausgehen	to go out	بیرون رفتن	ging aus	ist ausgegangen	sein	irr. (sep)	—	Wir gehen heute Abend aus.
zurückkommen	to come back	برگشتن	kam zurück	ist zurückgekommen	sein	irr. (sep)	—	Ich komme morgen zurück.
kaufen	to buy	خرید کردن	kaufte	hat gekauft	haben	reg.	[Akk]	Ich kaufe Brot.
verkaufen	to sell	فروختن	verkaufte	hat verkauft	haben	reg.	[Akk]	Er verkauft sein Auto.
bestellen	to order	سفارش دادن	bestellte	hat bestellt	haben	reg.	[Akk]	Ich bestelle Pizza.
bezahlen	to pay	پرداخت کردن	bezahlte	hat bezahlt	haben	reg.	[Akk]	Ich bezahle die Rechnung.
kosten	to cost	هزینه داشتن	kostete	hat gekostet	haben	reg.	[Akk]	Das Buch kostet zehn Euro.
rechnen	to calculate	محاسبه کردن	rechnete	hat gerechnet	haben	reg.	—	Ich rechne die Kosten zusammen.
sparen	to save	پس انداز کردن	sparte	hat gespart	haben	reg.	[Akk]	Ich spare Geld für Urlaub.
ausgeben	to spend	خرج کردن	gab aus	hat ausgegeben	haben	irr. (sep)	[Akk]	Ich gebe zu viel Geld aus.
leihen	to lend	قرض دادن	lieh	hat geliehen	haben	irr.	[Akk] [Dat]	Ich leihe dir mein Buch.
zurückgeben	to return	برگرداندن	gab zurück	hat zurückgegeben	haben	irr. (sep)	[Akk] [Dat]	Ich gebe das Buch zurück.
wohnen	to live	زندگی کردن	wohnte	hat gewohnt	haben	reg.	—	Ich wohne in Berlin.
legen	to lay	قرار دادن	legte	hat gelegt	haben	reg.	[Akk]	Ich lege das Buch auf den Tisch.
stellen	to place	قرار دادن	stellte	hat gestellt	haben	reg.	[Akk]	Ich stelle die Tasse hin.
halten	to hold	نگه داشتن	hielt	hat gehalten	haben	irr.	[Akk]	Ich halte die Tür auf.
sitzen	to sit	نشستن	saß	hat gesessen	haben	irr.	—	Ich sitze auf dem Stuhl.
liegen	to lie down	خوابیدن	lag	hat gelegen	haben	irr.	—	Das Buch liegt auf dem Tisch.
stehen	to stand	ایستادن	stand	hat gestanden	haben	irr.	—	Ich stehe an der Bushaltestelle.
gehören	to belong	تعلق داشتن	gehörte	hat gehört	haben	reg.	[Dat]	Das Buch gehört mir.
fehlen	to be missing	نبودن	fehlte	hat gefehlt	haben	reg.	[Dat]	Es fehlt mir an Zeit.
gefallen	to please	خوش آمدن	gefiel	hat gefallen	haben	irr.	[Dat]	Das Bild gefällt mir.
funktionieren	to function	کار کردن	funktionierte	hat funktioniert	haben	reg.	—	Das Gerät funktioniert nicht.
spielen	to play	بازی کردن	spielte	hat gespielt	haben	reg.	—	Ich spiele Fußball.
riechen	to smell	بوییدن	roch	hat gerochen	haben	irr.	—	Die Blumen riechen gut.
schmecken	to taste	چشیدن	schmeckte	hat geschmeckt	haben	reg.	—	Das Essen schmeckt lecker.
empfehlen	to recommend	توصیه کردن	empfahl	hat empfohlen	haben	irr.	[Akk] [Dat]	Ich empfehle dir dieses Buch.
schenken	to give a gift	هدیه دادن	schenkte	hat geschenkt	haben	reg.	[Akk] [Dat]	Ich schenke dir eine Uhr.
fotografieren	to photograph	عکس گرفتن	fotografierte	hat fotografiert	haben	reg.	[Akk]	Ich fotografiere die Landschaft.
besuchen	to visit	بازدید کردن	besuchte	hat besucht	haben	reg.	[Akk]	Ich besuche meine Großeltern.
einladen	to invite	دعوت کردن	lud ein	hat eingeladen	haben	irr. (sep)	[Akk] [Dat]	Ich lade dich zum Essen ein.
mitnehmen	to take along	با خود بردن	nahm mit	hat mitgenommen	haben	irr. (sep)	[Akk]	Ich nehme mein Buch mit.
schreiben	to write	نوشتن	schrieb	hat geschrieben	haben	irr.	[Akk]	Ich schreibe einen Brief.
finden	to find	پیدا کردن	fand	hat gefunden	haben	irr.	[Akk]	Ich finde meinen Schlüssel.
suchen	to search	جستجو کردن	suchte	hat gesucht	haben	reg.	[Akk]	Ich suche meine Brille.
lesen	to read	خواندن	las	hat gelesen	haben	irr.	[Akk]	Ich lese ein Buch.
sehen	to see	دیدن	sah	hat gesehen	haben	irr.	[Akk]	Ich sehe den Vogel.
beginnen	to begin	شروع کردن	begann	hat begonnen	haben	irr.	—	Der Unterricht beginnt um acht.
aufhören	to stop	تمام کردن	hörte auf	hat aufgehört	haben	reg. (sep)	—	Hören Sie auf zu rauchen!
anfangen	to start	شروع کردن	fing an	hat angefangen	haben	irr. (sep)	—	Der Film fängt um acht an.
klingeln	to ring	زنگ زدن	klingelte	hat geklingelt	haben	reg.	—	Das Telefon klingelt.
läuten	to ring (bell)	زنگ زدن	läutete	hat geläutet	haben	reg.	—	Die Kirchenglocke läutet.
drücken	to press	فشردن	drückte	hat gedrückt	haben	reg.	[Akk]	Ich drücke den Knopf.
klicken	to click	کلیک کردن	klickte	hat geklickt	haben	reg.	—	Ich klicke auf den Link.
senden	to send	ارسال کردن	sandte	hat gesandt	haben	irr.	[Akk]	Ich sende eine E-Mail.
empfangen	to receive	دریافت کردن	empfing	hat empfangen	haben	irr.	[Akk]	Ich empfange den Brief.
löschen	to delete	پاک کردن	löschte	hat gelöscht	haben	reg.	[Akk]	Ich lösche die Datei.
speichern	to save (data)	ذخیره کردن	speicherte	hat gespeichert	haben	reg.	[Akk]	Ich speichere das Dokument.
drucken	to print	چاپ کردن	druckte	hat gedruckt	haben	reg.	[Akk]	Ich drucke die Seite aus.
