German	English	Persian	Gender	Plural	Cases	Example
die Speisekarte	Menu	منو	f	die Speisekarten	Acc, Dat	Können Sie mir die Speisekarte bringen?
die Rechnung	Bill	حساب	f	die Rechnungen	Acc, Dat	Die Rechnung, bitte!
die Empfehlung	Recommendation	توصیه	f	die Empfehlungen	Nom, Acc	Haben Sie eine Empfehlung?
der Tisch	Table	میز	m	die Tische	Acc, Dat	Ein Tisch für zwei, bitte!
der Stuhl	Chair	صندلی	m	die Stühle	Acc, Dat	Ist dieser Stuhl frei?
das Fenster	Window	پنجره	n	die Fenster	Acc, Dat	Öffnen Sie das Fenster!
die Tür	Door	در	f	die Türen	Acc, Dat	Schließen Sie die Tür!
die Wand	Wall	دیوار	f	die Wände	Acc, Dat	Das Bild hängt an der Wand.
der Boden	Floor	کف	m	die Böden	Acc, Dat	Der Boden ist sauber.
die Decke	Ceiling	سقف	f	die Decken	Acc, Dat	Die Decke ist hoch.
