German	English	Persian	Gender	Article	Plural	Cases	Example
Gerechtigkeit	justice	عدالت	Feminin	die	die Gerechtigkeiten	Nom/Acc/Dat/Gen	—
Vernunft	reason	عقل	Feminin	die	die Vernünfte	Nom/Acc/Dat/Gen	—
Bewusstsein	consciousness	آگاهی	Neutral	das	die Bewusstseine	Nom/Acc/Dat/Gen	—
Dualismus	dualism	دوگانه‌گرایی	Maskulin	der	die Dualismen	Nom/Acc/Dat/Gen	—
Dialektik	dialectic	دیالکتیک	Feminin	die	die Dialektik	Nom/Acc/Dat/Gen	—
Ontologie	ontology	هستی‌شناسی	Feminin	die	die Ontologien	Nom/Acc/Dat/Gen	—
Determinismus	determinism	جبرگرایی	Maskulin	der	die Determinismen	Nom/Acc/Dat/Gen	—
Ästhetik	aesthetics	زیبایی‌شناسی	Feminin	die	die Ästhetik	Nom/Acc/Dat/Gen	—
Demokratie	democracy	دموکراسی	Feminin	die	die Demokratien	Nom/Acc/Dat/Gen	—
Diktatur	dictatorship	دیکتاتوری	Feminin	die	die Diktaturen	Nom/Acc/Dat/Gen	—
Monarchie	monarchy	پادشاهی	Feminin	die	die Monarchien	Nom/Acc/Dat/Gen	—
Parlament	parliament	پارلمان	Neutral	das	die Parlamente	Nom/Acc/Dat/Gen	—
Regierung	government	دولت	Feminin	die	die Regierungen	Nom/Acc/Dat/Gen	—
Opposition	opposition	اپوزیسیون	Feminin	die	die Oppositionen	Nom/Acc/Dat/Gen	—
Koalition	coalition	ائتلاف	Feminin	die	die Koalitionen	Nom/Acc/Dat/Gen	—
Gesetzgebung	legislation	قانون‌گذاری	Feminin	die	die Gesetzgebungen	Nom/Acc/Dat/Gen	—
Verfassung	constitution	قانون اساسی	Feminin	die	die Verfassungen	Nom/Acc/Dat/Gen	—
Wahl	election	انتخابات	Feminin	die	die Wahlen	Nom/Acc/Dat/Gen	—
Staat	state	دولت/کشور	Maskulin	der	die Staaten	Nom/Acc/Dat/Gen	—
Partei	party	حزب	Feminin	die	die Parteien	Nom/Acc/Dat/Gen	—
Legislative	legislature	قوه مقننه	Feminin	die	die Legislativen	Nom/Acc/Dat/Gen	—
Exekutive	executive	قوه مجریه	Feminin	die	die Exekutiven	Nom/Acc/Dat/Gen	—
Judikative	judiciary	قوه قضائیه	Feminin	die	die Judikativen	Nom/Acc/Dat/Gen	—
Bundeskanzler	federal chancellor	صدراعظم فدرال	Maskulin	der	die Bundeskanzler	Nom/Acc/Dat/Gen	—
Bundespräsident	federal president	رئیس‌جمهور فدرال	Maskulin	der	die Bundespräsidenten	Nom/Acc/Dat/Gen	—
Stadtrat	city council	شورای شهر	Maskulin	der	die Stadträte	Nom/Acc/Dat/Gen	—
Bürgermeisterin	female mayor	شهردار زن	Feminin	die	die Bürgermeisterinnen	Nom/Acc/Dat/Gen	—
Gesetz	law	قانون	Neutral	das	die Gesetze	Nom/Acc/Dat/Gen	—
Mehrheit	majority	اکثریت	Feminin	die	die Mehrheiten	Nom/Acc/Dat/Gen	—
Minderheit	minority	اقلیت	Feminin	die	die Minderheiten	Nom/Acc/Dat/Gen	—
Reform	reform	اصلاحات	Feminin	die	die Reformen	Nom/Acc/Dat/Gen	—
Kompromiss	compromise	سازش/مصالحه	Maskulin	der	die Kompromisse	Nom/Acc/Dat/Gen	—
Wahlkampagne	election campaign	مبارزات انتخاباتی	Feminin	die	die Wahlkampagnen	Nom/Acc/Dat/Gen	—
Wahlzettel	ballot	برگه رأی	Maskulin	der	die Wahlzettel	Nom/Acc/Dat/Gen	—
Stimmabgabe	voting	رأی‌دهی	Feminin	die	die Stimmabgaben	Nom/Acc/Dat/Gen	—
Wahlbeteiligung	voter turnout	مشارکت انتخاباتی	Feminin	die	die Wahlbeteiligungen	Nom/Acc/Dat/Gen	—
Souveränität	sovereignty	حاکمیت	Feminin	die	die Souveränitäten	Nom/Acc/Dat/Gen	—
Bipolarität	bipolarity	دوقطبی	Feminin	die	die Bipolaritäten	Nom/Acc/Dat/Gen	—
Globalisierung	globalization	جهانی‌شدن	Feminin	die	die Globalisierungen	Nom/Acc/Dat/Gen	—
Kapitalismus	capitalism	سرمایه‌داری	Maskulin	der	die Kapitalismen	Nom/Acc/Dat/Gen	—
Sozialismus	socialism	سوسیالیسم	Maskulin	der	die Sozialismen	Nom/Acc/Dat/Gen	—
Markt	market	بازار	Maskulin	der	die Märkte	Nom/Acc/Dat/Gen	—
Angebot	supply	عرضه	Neutral	das	die Angebote	Nom/Acc/Dat/Gen	—
Nachfrage	demand	تقاضا	Feminin	die	die Nachfragen	Nom/Acc/Dat/Gen	—
Inflation	inflation	تورم	Feminin	die	die Inflationen	Nom/Acc/Dat/Gen	—
Deflation	deflation	کاهش قیمت	Feminin	die	die Deflationen	Nom/Acc/Dat/Gen	—
Rezession	recession	رکود اقتصادی	Feminin	die	die Rezessionen	Nom/Acc/Dat/Gen	—
Produkt	product	محصول	Neutral	das	die Produkte	Nom/Acc/Dat/Gen	—
Firma	company	شرکت	Feminin	die	die Firmen	Nom/Acc/Dat/Gen	—
Preis	price	قیمت	Maskulin	der	die Preise	Nom/Acc/Dat/Gen	—
Geld	money	پول	Neutral	das	die Gelder	Nom/Acc/Dat/Gen	—
Steuer	tax	مالیات	Feminin	die	die Steuern	Nom/Acc/Dat/Gen	—
Konjunktur	economy/business cycle	چرخه اقتصادی	Feminin	die	die Konjunkturen	Nom/Acc/Dat/Gen	—
Investition	investment	سرمایه‌گذاری	Feminin	die	die Investitionen	Nom/Acc/Dat/Gen	—
Rendite	yield	بازدهی	Feminin	die	die Renditen	Nom/Acc/Dat/Gen	—
Bruttoinlandsprodukt (BIP)	GDP	تولید ناخالص داخلی	Neutral	das	die BIPs	Nom/Acc/Dat/Gen	—
Arbeitslosigkeit	unemployment	بیکاری	Feminin	die	die Arbeitslosigkeiten	Nom/Acc/Dat/Gen	—
Währung	currency	ارز	Feminin	die	die Währungen	Nom/Acc/Dat/Gen	—
Export	export	صادرات	Maskulin	der	die Exporte	Nom/Acc/Dat/Gen	—
Import	import	واردات	Maskulin	der	die Importe	Nom/Acc/Dat/Gen	—
Handel	trade	تجارت	Maskulin	der	die Handel	Nom/Acc/Dat/Gen	—
Konkurrenz	competition	رقابت	Feminin	die	die Konkurrenzen	Nom/Acc/Dat/Gen	—
Umsatz	revenue/turnover	درآمد/گردش مالی	Maskulin	der	die Umsätze	Nom/Acc/Dat/Gen	—
Dividende	dividend	سود سهام	Feminin	die	die Dividenden	Nom/Acc/Dat/Gen	—
Aktienmarkt	stock market	بورس اوراق بهادار	Maskulin	der	die Aktienmärkte	Nom/Acc/Dat/Gen	—
Wirtschaftskrise	economic crisis	بحران اقتصادی	Feminin	die	die Wirtschaftskrisen	Nom/Acc/Dat/Gen	—
Schulden	debt	بدهی	Feminin	die	die Schulden	Nom/Acc/Dat/Gen	—
Lohn	wage	دستمزد	Maskulin	der	die Löhne	Nom/Acc/Dat/Gen	—
Moderne	modernism	مدرنیسم	Feminin	die	die Modernen	Nom/Acc/Dat/Gen	—
Postmoderne	postmodernism	پست‌مدرنیسم	Feminin	die	die Postmodernen	Nom/Acc/Dat/Gen	—
Avantgarde	avant-garde	پیشگام	Feminin	die	die Avantgarden	Nom/Acc/Dat/Gen	—
Expressionismus	expressionism	اکسپرسیونیسم	Maskulin	der	die Expressionismen	Nom/Acc/Dat/Gen	—
Surrealismus	surrealism	سورئالیسم	Maskulin	der	die Surrealismen	Nom/Acc/Dat/Gen	—
Kubismus	cubism	کوبیسم	Maskulin	der	die Kubismen	Nom/Acc/Dat/Gen	—
Impressionismus	impressionism	امپرسیونیسم	Maskulin	der	die Impressionismen	Nom/Acc/Dat/Gen	—
Dadaismus	dadaism	دادائیسم	Maskulin	der	die Dadaismen	Nom/Acc/Dat/Gen	—
Futurismus	futurism	فوتوریسم	Maskulin	der	die Futurismen	Nom/Acc/Dat/Gen	—
Romantizismus	romanticism	رمانتیسم	Maskulin	der	die Romantizismen	Nom/Acc/Dat/Gen	—
Renaissance	renaissance	رنسانس	Feminin	die	die Renaissance	Nom/Acc/Dat/Gen	—
Gemälde	painting	نقاشی	Neutral	das	die Gemälde	Nom/Acc/Dat/Gen	—
Skulptur	sculpture	مجسمه	Feminin	die	die Skulpturen	Nom/Acc/Dat/Gen	—
Museum	museum	موزه	Neutral	das	die Museen	Nom/Acc/Dat/Gen	—
Galerie	gallery	گالری	Feminin	die	die Galerien	Nom/Acc/Dat/Gen	—
Ausstellung	exhibition	نمایشگاه	Feminin	die	die Ausstellungen	Nom/Acc/Dat/Gen	—
Fotografie	photography	عکاسی	Feminin	die	die Fotografien	Nom/Acc/Dat/Gen	—
Architektur	architecture	معماری	Feminin	die	die Architekturen	Nom/Acc/Dat/Gen	—
Komposition	composition	آهنگسازی	Feminin	die	die Kompositionen	Nom/Acc/Dat/Gen	—
Performance	performance	اجرا	Feminin	die	die Performances	Nom/Acc/Dat/Gen	—
Installation	installation	نصب هنری	Feminin	die	die Installationen	Nom/Acc/Dat/Gen	—
Collage	collage	کلاژ	Feminin	die	die Collagen	Nom/Acc/Dat/Gen	—
Mischtechnik	mixed media	تکنیک ترکیبی	Feminin	die	die Mischtechniken	Nom/Acc/Dat/Gen	—
Kunstwerk	artwork	اثر هنری	Neutral	das	die Kunstwerke	Nom/Acc/Dat/Gen	—
Künstler	artist	هنرمند	Maskulin	der	die Künstler	Nom/Acc/Dat/Gen	—
Bildhauerei	sculpture	مجسمه‌سازی	Feminin	die	die Bildhauereien	Nom/Acc/Dat/Gen	—
Grafik	graphic art	گرافیک	Feminin	die	die Grafiken	Nom/Acc/Dat/Gen	—
Malerei	painting	نقاشی	Feminin	die	die Malereien	Nom/Acc/Dat/Gen	—
Druckgrafik	printmaking	چاپ هنری	Feminin	die	die Druckgrafiken	Nom/Acc/Dat/Gen	—
Zeichnung	drawing	طراحی	Feminin	die	die Zeichnungen	Nom/Acc/Dat/Gen	—
Aquarell	watercolor	آبرنگ	Feminin	die	die Aquarelle	Nom/Acc/Dat/Gen	—
Kognition	cognition	شناخت	Feminin	die	die Kognitionen	Nom/Acc/Dat/Gen	—
Wahrnehmung	perception	ادراک	Feminin	die	die Wahrnehmungen	Nom/Acc/Dat/Gen	—
Emotion	emotion	عاطفه	Feminin	die	die Emotionen	Nom/Acc/Dat/Gen	—
Motivation	motivation	انگیزش	Feminin	die	die Motivationen	Nom/Acc/Dat/Gen	—
Persönlichkeit	personality	شخصیت	Feminin	die	die Persönlichkeiten	Nom/Acc/Dat/Gen	—
Verhalten	behavior	رفتار	Neutral	das	die Verhaltensweisen	Nom/Acc/Dat/Gen	—
Therapie	therapy	درمان	Feminin	die	die Therapien	Nom/Acc/Dat/Gen	—
Psychoanalyse	psychoanalysis	روانکاوی	Feminin	die	die Psychoanalysen	Nom/Acc/Dat/Gen	—
Psychotherapie	psychotherapy	روان‌درمانی	Feminin	die	die Psychotherapien	Nom/Acc/Dat/Gen	—
Kognitionspsychologie	cognitive psychology	روان‌شناسی شناختی	Feminin	die	die Kognitionspsychologien	Nom/Acc/Dat/Gen	—
Entwicklungspsychologie	developmental psychology	روان‌شناسی رشد	Feminin	die	die Entwicklungspsychologien	Nom/Acc/Dat/Gen	—
Sozialpsychologie	social psychology	روان‌شناسی اجتماعی	Feminin	die	die Sozialpsychologien	Nom/Acc/Dat/Gen	—
Neurologie	neurology	عصب‌شناسی	Feminin	die	die Neurologien	Nom/Acc/Dat/Gen	—
Psychiatrie	psychiatry	روان‌پزشکی	Feminin	die	die Psychiatrien	Nom/Acc/Dat/Gen	—
Gedächtnis	memory	حافظه	Neutral	das	die Gedächtnisse	Nom/Acc/Dat/Gen	—
Angst	fear	ترس	Feminin	die	die Ängste	Nom/Acc/Dat/Gen	—
Freude	joy	شادی	Feminin	die	die Freuden	Nom/Acc/Dat/Gen	—
Traurigkeit	sadness	غم	Feminin	die	die Traurigkeiten	Nom/Acc/Dat/Gen	—
Wut	anger	خشم	Feminin	die	die Wüte	Nom/Acc/Dat/Gen	—
Phobie	phobia	فوبیا	Feminin	die	die Phobien	Nom/Acc/Dat/Gen	—
Paranoia	paranoia	پارانویا	Feminin	die	die Paranoien	Nom/Acc/Dat/Gen	—
Schizophrenie	schizophrenia	اسکیزوفرنی	Feminin	die	die Schizophrenien	Nom/Acc/Dat/Gen	—
Depression	depression	افسردگی	Feminin	die	die Depressionen	Nom/Acc/Dat/Gen	—
Manie	mania	مانی	Feminin	die	die Manien	Nom/Acc/Dat/Gen	—
Neugier	curiosity	کنجکاوی	Feminin	die	die Neugierde	Nom/Acc/Dat/Gen	—
Impulsivität	impulsivity	تکانشگری	Feminin	die	die Impulsivitäten	Nom/Acc/Dat/Gen	—
Selbstwirksamkeit	self-efficacy	کارآمدی خود	Feminin	die	die Selbstwirksamkeiten	Nom/Acc/Dat/Gen	—
Konditionierung	conditioning	شرطی‌سازی	Feminin	die	die Konditionierungen	Nom/Acc/Dat/Gen	—
Symptome	symptom	علائم	Feminin	die	die Symptome	Nom/Acc/Dat/Gen	—
Diagnose	diagnosis	تشخیص	Feminin	die	die Diagnosen	Nom/Acc/Dat/Gen	—
Künstliche Intelligenz	artificial intelligence	هوش مصنوعی	Feminin	die	die Künstlichen Intelligenzen	Nom/Acc/Dat/Gen	—
Robotik	robotics	رباتیک	Feminin	die	die Robotik	Nom/Acc/Dat/Gen	—
Digitalisierung	digitalization	دیجیتالی‌شدن	Feminin	die	die Digitalisierungen	Nom/Acc/Dat/Gen	—
Automatisierung	automation	خودکارسازی	Feminin	die	die Automatisierungen	Nom/Acc/Dat/Gen	—
Biotechnologie	biotechnology	بیوتکنولوژی	Feminin	die	die Biotechnologien	Nom/Acc/Dat/Gen	—
Nanotechnologie	nanotechnology	نانوتکنولوژی	Feminin	die	die Nanotechnologien	Nom/Acc/Dat/Gen	—
Software	software	نرم‌افزار	Feminin	die	die Softwares	Nom/Acc/Dat/Gen	—
Hardware	hardware	سخت‌افزار	Feminin	die	die Hardwares	Nom/Acc/Dat/Gen	—
Betriebssystem	operating system	سیستم عامل	Neutral	das	die Betriebssysteme	Nom/Acc/Dat/Gen	—
Netzwerk	network	شبکه	Neutral	das	die Netzwerke	Nom/Acc/Dat/Gen	—
Cloud	cloud	فضای ابری	Feminin	die	die Clouds	Nom/Acc/Dat/Gen	—
Datenbank	database	پایگاه داده	Feminin	die	die Datenbanken	Nom/Acc/Dat/Gen	—
Programmiersprache	programming language	زبان برنامه‌نویسی	Feminin	die	die Programmiersprachen	Nom/Acc/Dat/Gen	—
Algorithmus	algorithm	الگوریتم	Maskulin	der	die Algorithmen	Nom/Acc/Dat/Gen	—
Verschlüsselung	encryption	رمزگذاری	Feminin	die	die Verschlüsselungen	Nom/Acc/Dat/Gen	—
Cybersicherheit	cybersecurity	امنیت سایبری	Feminin	die	die Cybersicherheiten	Nom/Acc/Dat/Gen	—
Virtual Reality	virtual reality	واقعیت مجازی	Feminin	die	die Virtual Realityn	Nom/Acc/Dat/Gen	—
Augmented Reality	augmented reality	واقعیت افزوده	Feminin	die	die Augmented Realityn	Nom/Acc/Dat/Gen	—
Internet	internet	اینترنت	Neutral	das	die Internetze	Nom/Acc/Dat/Gen	—
Computer	computer	کامپیوتر	Maskulin	der	die Computer	Nom/Acc/Dat/Gen	—
Smartphone	smartphone	گوشی هوشمند	Neutral	das	die Smartphones	Nom/Acc/Dat/Gen	—
App	application	اپلیکیشن	Feminin	die	die Apps	Nom/Acc/Dat/Gen	—
Programmierung	programming	برنامه‌نویسی	Feminin	die	die Programmierungen	Nom/Acc/Dat/Gen	—
Datenverarbeitung	data processing	پردازش داده	Feminin	die	die Datenverarbeitungen	Nom/Acc/Dat/Gen	—
Kryptowährung	cryptocurrency	ارز دیجیتال	Feminin	die	die Kryptowährungen	Nom/Acc/Dat/Gen	—
Blockchain	blockchain	بلاکچین	Feminin	die	die Blockchains	Nom/Acc/Dat/Gen	—
Drohne	drone	پهپاد	Feminin	die	die Drohnen	Nom/Acc/Dat/Gen	—
Drucker	printer	پرینتر	Maskulin	der	die Drucker	Nom/Acc/Dat/Gen	—
Intelligenz	intelligence	هوش	Feminin	die	die Intelligenzen	Nom/Acc/Dat/Gen	—
Maschine	machine	ماشین	Feminin	die	die Maschinen	Nom/Acc/Dat/Gen	—
Klimawandel	climate change	تغییرات آب‌وهوا	Maskulin	der	die Klimawandel	Nom/Acc/Dat/Gen	—
Nachhaltigkeit	sustainability	پایداری	Feminin	die	die Nachhaltigkeiten	Nom/Acc/Dat/Gen	—
Ökologie	ecology	اکولوژی	Feminin	die	die Ökologien	Nom/Acc/Dat/Gen	—
Biodiversität	biodiversity	تنوع زیستی	Feminin	die	die Biodiversitäten	Nom/Acc/Dat/Gen	—
Energiepolitik	energy policy	سیاست انرژی	Feminin	die	die Energiepolitiken	Nom/Acc/Dat/Gen	—
Umweltverschmutzung	environmental pollution	آلودگی محیط زیست	Feminin	die	die Umweltverschmutzungen	Nom/Acc/Dat/Gen	—
Natur	nature	طبیعت	Feminin	die	die Naturen	Nom/Acc/Dat/Gen	—
Luft	air	هوا	Feminin	die	die Lüfte	Nom/Acc/Dat/Gen	—
Wasser	water	آب	Neutral	das	die Wasser	Nom/Acc/Dat/Gen	—
Wald	forest	جنگل	Maskulin	der	die Wälder	Nom/Acc/Dat/Gen	—
Erde	earth	زمین	Feminin	die	die Erden	Nom/Acc/Dat/Gen	—
Erderwärmung	global warming	گرمایش زمین	Feminin	die	die Erderwärmungen	Nom/Acc/Dat/Gen	—
Treibhauseffekt	greenhouse effect	اثر گلخانه‌ای	Maskulin	der	die Treibhauseffekte	Nom/Acc/Dat/Gen	—
Meeresspiegel	sea level	سطح دریا	Maskulin	der	die Meeresspiegel	Nom/Acc/Dat/Gen	—
Dürre	drought	خشکسالی	Feminin	die	die Dürren	Nom/Acc/Dat/Gen	—
Überschwemmung	flood	سیل	Feminin	die	die Überschwemmungen	Nom/Acc/Dat/Gen	—
Sonnenenergie	solar energy	انرژی خورشیدی	Feminin	die	die Sonnenenergien	Nom/Acc/Dat/Gen	—
Windenergie	wind energy	انرژی بادی	Feminin	die	die Windenergien	Nom/Acc/Dat/Gen	—
Kernenergie	nuclear energy	انرژی هسته‌ای	Feminin	die	die Kernenergien	Nom/Acc/Dat/Gen	—
Kohle	coal	زغال‌سنگ	Feminin	die	die Kohlen	Nom/Acc/Dat/Gen	—
Erdgas	natural gas	گاز طبیعی	Neutral	das	die Erdgase	Nom/Acc/Dat/Gen	—
Umwelt	environment	محیط زیست	Feminin	die	die Umwelten	Nom/Acc/Dat/Gen	—
Müllentsorgung	waste disposal	دفع زباله	Feminin	die	die Müllentsorgungen	Nom/Acc/Dat/Gen	—
Recycling	recycling	بازیافت	Neutral	das	die Recyclings	Nom/Acc/Dat/Gen	—
Kreislaufwirtschaft	circular economy	اقتصاد دایره‌ای	Feminin	die	die Kreislaufwirtschaften	Nom/Acc/Dat/Gen	—
Baum	tree	درخت	Maskulin	der	die Bäume	Nom/Acc/Dat/Gen	—
Pflanze	plant	گیاه	Feminin	die	die Pflanzen	Nom/Acc/Dat/Gen	—
Photosynthese	photosynthesis	فتوسنتز	Feminin	die	die Photosynthesen	Nom/Acc/Dat/Gen	—
Ozonschicht	ozone layer	لایه ازن	Feminin	die	die Ozonschichten	Nom/Acc/Dat/Gen	—
Verschmutzung	pollution	آلودگی	Feminin	die	die Verschmutzungen	Nom/Acc/Dat/Gen	—
Migration	migration	مهاجرت	Feminin	die	die Migrationen	Nom/Acc/Dat/Gen	—
Integration	integration	ادغام	Feminin	die	die Integrationen	Nom/Acc/Dat/Gen	—
Multikulturalismus	multiculturalism	چندفرهنگی	Maskulin	der	die Multikulturalismen	Nom/Acc/Dat/Gen	—
Soziologie	sociology	جامعه‌شناسی	Feminin	die	die Soziologien	Nom/Acc/Dat/Gen	—
Demografie	demography	جمعیت‌شناسی	Feminin	die	die Demografien	Nom/Acc/Dat/Gen	—
Kultur	culture	فرهنگ	Feminin	die	die Kulturen	Nom/Acc/Dat/Gen	—
Gesellschaft	society	جامعه	Feminin	die	die Gesellschaften	Nom/Acc/Dat/Gen	—
Familie	family	خانواده	Feminin	die	die Familien	Nom/Acc/Dat/Gen	—
Generation	generation	نسل	Feminin	die	die Generationen	Nom/Acc/Dat/Gen	—
Tradition	tradition	سنت	Feminin	die	die Traditionen	Nom/Acc/Dat/Gen	—
Religion	religion	دین	Feminin	die	die Religionen	Nom/Acc/Dat/Gen	—
Sprache	language	زبان	Feminin	die	die Sprachen	Nom/Acc/Dat/Gen	—
Sozialstruktur	social structure	ساختار اجتماعی	Feminin	die	die Sozialstrukturen	Nom/Acc/Dat/Gen	—
Geschlechterrolle	gender role	نقش جنسیتی	Feminin	die	die Geschlechterrollen	Nom/Acc/Dat/Gen	—
Gleichstellung	equality	برابری	Feminin	die	die Gleichstellungen	Nom/Acc/Dat/Gen	—
Inklusion	inclusion	شمولیت	Feminin	die	die Inklusionen	Nom/Acc/Dat/Gen	—
Exklusion	exclusion	حذف	Feminin	die	die Exklusionen	Nom/Acc/Dat/Gen	—
Diskriminierung	discrimination	تبعیض	Feminin	die	die Diskriminierungen	Nom/Acc/Dat/Gen	—
Rassismus	racism	نژادپرستی	Maskulin	der	die Rassismen	Nom/Acc/Dat/Gen	—
Sexismus	sexism	جنسیت‌گرایی	Maskulin	der	die Sexismen	Nom/Acc/Dat/Gen	—
Klasse	class	طبقه	Feminin	die	die Klassen	Nom/Acc/Dat/Gen	—
Armut	poverty	فقر	Feminin	die	die Armut	Nom/Acc/Dat/Gen	—
Wohlstand	wealth	ثروت	Maskulin	der	die Wohlstände	Nom/Acc/Dat/Gen	—
Sozialhilfe	social welfare	کمک اجتماعی	Feminin	die	die Sozialhilfen	Nom/Acc/Dat/Gen	—
Bürgerrecht	civil right	حق شهروندی	Neutral	das	die Bürgerrechte	Nom/Acc/Dat/Gen	—
Menschenwürde	human dignity	کرامت انسانی	Feminin	die	die Menschenwürden	Nom/Acc/Dat/Gen	—
Leben	life	زندگی	Neutral	das	die Leben	Nom/Acc/Dat/Gen	—
Welt	world	جهان	Feminin	die	die Welten	Nom/Acc/Dat/Gen	—
Toleranz	tolerance	مدارا	Feminin	die	die Toleranzen	Nom/Acc/Dat/Gen	—
Solidarität	solidarity	همبستگی	Feminin	die	die Solidaritäten	Nom/Acc/Dat/Gen	—
Jurisprudenz	jurisprudence	حقوق	Feminin	die	die Jurisprudenzen	Nom/Acc/Dat/Gen	—
Verfassungsrecht	constitutional law	حقوق اساسی	Neutral	das	die Verfassungsrechte	Nom/Acc/Dat/Gen	—
Strafrecht	criminal law	حقوق جزایی	Neutral	das	die Strafrechte	Nom/Acc/Dat/Gen	—
Zivilrecht	civil law	حقوق مدنی	Neutral	das	die Zivilrechte	Nom/Acc/Dat/Gen	—
Menschenrecht	human right	حقوق بشر	Neutral	das	die Menschenrechte	Nom/Acc/Dat/Gen	—
Völkerrecht	international law	حقوق بین‌الملل	Neutral	das	die Völkerrechte	Nom/Acc/Dat/Gen	—
Anwalt	lawyer	وکیل	Maskulin	der	die Anwälte	Nom/Acc/Dat/Gen	—
Anwältin	female lawyer	وکیل زن	Feminin	die	die Anwältinnen	Nom/Acc/Dat/Gen	—
Urteil	verdict	حکم	Neutral	das	die Urteile	Nom/Acc/Dat/Gen	—
Gericht	court	دادگاه	Neutral	das	die Gerichte	Nom/Acc/Dat/Gen	—
Richter	judge	قاضی	Maskulin	der	die Richter	Nom/Acc/Dat/Gen	—
